"REF_DATE","GEO","DGUID","Rates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-10-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2019-10-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2019-10-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2019-11-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2019-11-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2019-11-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2019-11-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2019-12-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2019-12-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2019-12-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2019-12-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2020-01-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2020-01-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2020-01-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2020-01-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2020-01-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2020-02-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2020-02-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2020-02-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2020-02-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","2.00","","","","2"
"2020-03-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.50","","","","2"
"2020-03-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","1.50","","","","2"
